distance,height,landings,number,pack,age,usage,region,weight,item,volume,width,max,power,size,target
4611,1355.7244,0.470497768068864,-0.7486661954398028,1.1313317101958862,53717.2521,19754.42471,RE-3,1338,IT-0,43261,24853.007999999998,34461,16474,1339,-34.372551823365804
5062,9980.9078,0.64536872411904,-1.3095406581879754,0.8132170811083418,27886.7585,49496.604889999995,RE-E,2887,IT-B,25980,22224.199,17133,22495,1566,15.607453555784552
4891,2851.8781,-1.1520088639395456,1.4581327066468246,0.3706492239137636,35350.1211,42344.59643,RE-F,2177,IT-10,41737,23669.787,28773,6880,946,-32.72104139644623
2887,11527.9847,-1.2770998583116089,0.5143225865333485,-1.7778559693528493,48047.4875,17949.24565,RE-0,1296,IT-10,40179,27907.0,13376,24649,1726,29.529924263029734
3730,1979.5627,-0.7657980010340166,1.217995217953587,-1.098467527259985,27496.3978,43975.700260000005,RE-A,1238,IT-F,26437,31213.522999999997,17611,10833,1181,-18.885321826702143
6832,15250.4318,1.4437807546616717,-1.3575323409071476,-1.2932644270029217,36436.5512,23699.26215,RE-E,2633,IT-4,41533,18955.263,10571,15675,1199,-14.946671991262484
7088,11166.718,1.3086418011258956,-0.5382463853940898,0.12108163390040078,46595.1412,11195.70388,RE-1,1595,IT-2,33596,27929.88,32135,16255,1386,-10.036558217709402
5039,16038.6299,-0.21811187704716103,0.6807155607997784,0.5130295683602027,50980.8415,24967.61421,RE-E,1671,IT-1,47135,26209.163500000002,1476,25714,978,-30.574626934711226
3677,5401.6685,1.5616885307968245,0.32495046606731687,-0.23602196716444007,40727.5013,40043.898760000004,RE-2,4746,IT-2,65456,30431.611,2935,19186,776,-18.562668942678933
6907,2633.8337,0.21133590552340348,-1.0432299246860577,-0.30973914289187016,38894.3742,40242.81925,RE-10,4931,IT-13,24934,35563.316,32497,8908,1197,3.608983697796425
7873,8750.9505,0.27562671469726585,0.6906958411470651,-1.122234222188649,15969.943000000001,28050.710939999997,RE-3,3731,IT-5,52302,14429.077,20461,19818,1338,20.358842983062512
6770,13597.9977,0.0751606390999083,0.36847195656748083,0.7781126717885527,31001.7082,19114.59885,RE-C,1804,IT-6,62589,26092.101000000002,28385,12571,1441,9.635946389296087
3809,13500.4273,-1.3904912558583618,-1.461745184055735,2.778422706195539,45598.7879,41570.61327,RE-11,3613,IT-2,48163,26466.675,8389,21155,1039,-18.003564333698932
5638,3688.9001,0.5197574730271383,0.4626036630191227,-0.1155157128865732,58335.5052,32295.705210000004,RE-F,4350,IT-A,30824,30682.897,19207,18357,1558,36.9784979593738
5069,2146.1286,-1.376223491600933,1.4579959372739293,0.6756007840907725,44997.6259,26415.91046,RE-10,1206,IT-4,40344,26209.163500000002,29874,12903,1359,-24.989596780837108
8592,16022.4987,-1.6067590727266452,0.8457395877873902,-0.5082932272155215,25500.8679,27882.921260000003,RE-0,3797,IT-2,20457,30789.802000000003,28311,13502,920,-13.963777806770134
5048,14614.5105,-0.40233459415136386,1.7170136955830895,-0.4191711957243184,29245.4122,5640.14246,RE-2,2832,IT-7,43634,28174.652000000002,27263,21562,927,-19.082141070486323
4443,1891.4498,1.3732934800816843,0.6865368454173839,0.3203115054293762,38336.0338,29665.750389999997,RE-A,4839,IT-6,18974,14602.767,8736,13009,1100,-82.92950898090095
5425,17266.628,0.7301058010573312,1.4500069632110129,-0.8545382618394642,50338.6316,44554.12134,RE-2,3806,IT-9,32515,18502.251,24054,21233,1282,24.43704816904961
6166,12469.8189,-0.9178929050270991,-1.508706103295987,-1.7044379987110154,43704.0825,36653.599480000004,RE-F,690,IT-A,64761,31106.88,31611,17167,992,26.839751053203486
5125,5684.3823,-1.1174321137031122,-0.1689920605163496,0.5433989967120685,62908.5807,33355.90623,RE-6,2464,IT-9,26204,26209.163500000002,11796,20263,1468,20.046465978852588
5392,16882.3319,-1.6452672829632184,-1.042161532254365,1.600236120426318,32982.8974,34405.37935,RE-2,2275,IT-12,58152,25049.714,28845,10867,1578,29.49523641173811
3247,2305.0946,-0.5134424409157609,-0.938653573381531,-0.10709895349296254,28819.1942,24537.78542,RE-A,2114,IT-C,59418,25534.171000000002,6342,19300,1024,-26.395664207632922
3888,11912.1371,1.7763077500571565,0.3949934273945534,0.0853041613545384,38058.6153,41278.81171,RE-9,1087,IT-5,63012,26701.917,19840,8911,909,-8.597435222896207
3477,5614.5749,-1.0132192692056456,0.16586783876484545,1.1607239830968392,41141.8784,41602.09645,RE-5,1959,IT-7,49039,33112.097,24492,13658,1334,1.7156547954047667
3904,15061.6223,-0.7710214241141057,-1.355829944181668,-0.19488437643598958,48754.6094,45847.28895,RE-7,1750,IT-8,60071,17357.909,9481,17876,1345,14.419260817901057
4592,9818.6628,1.0243655203537252,-0.4127663219384592,0.22744581311326895,19897.5533,26706.159480000002,RE-D,4481,IT-8,66577,18680.692,27651,18796,1652,39.046457559101455
5457,5794.3421,0.15126888652021522,-0.7586615869074986,-0.053139015588037505,45005.4974,29107.412999999997,RE-1,2022,IT-A,58192,28537.327999999998,28175,14181,1426,-16.028291620662085
4172,11040.3487,-0.27202682010818846,0.03205755871562998,0.33150798950804733,32757.5413,31096.655689999996,RE-C,1415,IT-6,36253,17603.394,18163,13799,941,-53.778351616869905
5333,1224.0522,0.39247789908406283,-0.28807367896927344,0.637299056055062,34668.1407,25254.564,RE-9,3795,IT-E,56463,25787.734,18967,6938,1568,-7.275132308276353
4273,10289.8089,-0.4705787465466745,1.1020567332750708,0.6440275812377282,32586.5741,19111.07811,RE-D,880,IT-8,48856,33232.096,27197,18488,1333,5.975901024740695
5744,9335.9855,-0.6387015259630796,1.3093765507788302,-1.432606044407765,31633.6695,36440.93569,RE-8,3734,IT-5,26192,24150.572,11887,11589,1528,-12.04098961959114
3702,7588.8867,-0.5829243083405576,-1.1397739516742678,-0.6061993867608322,45047.8635,22936.83795,RE-A,1736,IT-8,26999,28582.722,4530,16684,1667,-11.548552698918336
3661,15112.9391,-1.2047034211645948,0.8981504333995878,0.914983688083086,27002.625,22115.82551,RE-D,3145,IT-4,37986,22447.84,1354,17914,1533,-14.227211886536551
4730,7610.0385,-1.663161069391287,0.7244219029762144,0.9900879380801657,58995.7764,42220.09646,RE-9,4358,IT-2,58844,14728.166000000001,13422,14038,1613,-1.2427846526305089
7038,10254.4914,0.7500251694999674,-1.1609442806956738,-1.5395354653385942,42813.4235,31719.23264,RE-11,4921,IT-B,50813,35062.285,23976,13136,740,9.57952544208236
3583,4034.3577,-0.7973969642500337,1.053095477815218,0.28447604417228517,34844.8379,30997.05445,RE-B,1177,IT-F,37240,35147.685,6955,15222,1236,-19.59553539117148
5311,11183.5618,-0.7324095405428898,-0.7194043488670492,-0.735397602453684,30656.1637,14055.55284,RE-1,1761,IT-13,43145,28991.581000000002,16372,15824,1482,11.00741636733022
4149,6634.4473,0.8786175406150892,-0.24962088424240916,0.4116232957701252,62454.087999999996,25174.88824,RE-0,2500,IT-2,54422,25980.006,12830,13273,1055,-45.96842583076738
4922,12956.4781,0.7412891851524028,0.5051776310489613,-1.1303600846333786,34961.0755,45462.2342,RE-F,2031,IT-9,44860,27712.627999999997,9025,18009,1758,43.22920219362741
3235,2221.9856,-1.0764136996163376,-1.2374795477954321,-0.6218188360076475,26816.5241,31128.46443,RE-11,2477,IT-12,47186,28017.521,14240,12316,1545,-22.615638512361933
4842,17229.9733,1.4755060475611665,0.8413394170097648,1.2087411917276383,49974.6483,11078.688890000001,RE-C,1752,IT-8,47894,35061.626000000004,5504,18419,1225,-0.2418030288408506
5979,7508.4699,1.3358037144483113,1.3837822151591985,-0.45147408852503973,49131.7504,31059.844310000004,RE-3,3300,IT-E,57719,23892.31,5692,15686,880,16.312593231536596
6573,6120.7235,-0.544025434666494,-0.36837647032530146,-1.0195876817871359,51065.5079,38933.18348,RE-C,1369,IT-6,57403,32701.178,25061,4365,1244,4.0407284994855805
3692,13147.0479,0.08959174389833154,0.5491188315797129,1.2065805874677802,23550.6561,32690.07556,RE-C,2691,IT-2,66530,22311.495,30319,16290,1279,-9.21129455036692
5821,14370.2953,-0.8498349448210558,1.089504356894599,-0.3447095644793314,47329.9715,32246.132960000003,RE-F,1583,IT-11,70683,22163.792,25722,16644,1325,47.60950576915737
7387,6141.4283,1.3741697676767168,1.6369050587750062,-1.0152969177413995,47245.8527,23007.53127,RE-5,2909,IT-2,38092,21486.401,19305,21528,1197,-22.968939662356966
2900,13419.9469,-0.37234739442370224,0.2621162496735916,0.3139961357937323,28718.406000000003,30864.934339999996,RE-6,3329,IT-13,40927,17060.744,26814,16190,898,-42.607619243817524
3440,16102.7943,-0.5098672498624439,-0.5150572934882877,0.12996834380841402,24453.748,18336.8169,RE-5,922,IT-A,66963,31511.671000000002,25045,12706,2092,58.230556785916775
3952,16184.5503,1.5963589489033116,0.40731492718337536,0.10731311253113913,46411.02099999999,28636.039839999998,RE-7,2036,IT-3,55548,21196.433999999997,8929,14944,1732,-0.9644390949973776
4420,8092.2125,-1.6850319440629515,-1.5705359976484776,-1.1797919838764097,37466.4439,25616.49192,RE-D,2844,IT-A,35631,30447.122000000003,10783,9700,841,-45.6486408759168
7655,9658.3506,-0.4966130138273256,-1.2737514191143917,0.38276235104546147,9426.905999999999,35409.66321,RE-5,4414,IT-0,27755,25425.084,12506,15984,1619,-26.917089197002593
5570,13362.498,0.16142844317220814,-0.3600525093889252,0.9295206359873123,49900.7457,39770.47097,RE-C,4609,IT-1,75974,26209.163500000002,12296,14270,1607,16.773795460891773
5528,3124.2203,0.6414444934261906,-1.644191408691318,-0.8612024370181808,31315.9016,22623.12341,RE-11,2741,IT-D,15849,22050.528,18690,27674,1570,-1.8577164565031128
4334,1891.2803,-0.6067591795280255,1.3300164358846658,1.1651816709887277,11637.5052,11214.61678,RE-7,4716,IT-9,46171,21270.855,11141,15276,1379,-43.379793847789486
6132,12298.9759,1.486213800857947,1.2554429449584281,0.5458653195726141,31992.4839,44967.78552,RE-11,3808,IT-9,57057,27906.732999999997,14209,21913,1119,19.356035994966053
4731,17706.5439,1.1959096909020985,-1.3147951039093848,0.16304604847193233,33904.137,20652.00494,RE-7,3932,IT-10,50057,15411.533000000001,30061,20219,1582,32.52056366373308
6649,1856.9873,-1.0515898070579193,0.19032304655339416,-0.06623420934500418,34335.3424,41509.21408,RE-A,2332,IT-5,61577,21448.702999999998,31457,19288,1328,0.3862994394341732
4841,15837.8125,-1.475399014014039,0.21257949332827558,0.7735068474956391,39706.2205,31818.934739999997,RE-6,1099,IT-1,53904,19765.652,7253,14522,1414,-9.24527268162039
6055,2924.7327,0.2600919421087191,0.6615278184919491,0.9052996774600486,49171.2026,29968.050919999998,RE-11,3072,IT-F,48753,23447.548,2007,22070,1325,-2553.4001129072767
6928,8289.4158,-1.142311183194857,-0.45017281135616427,1.4179190835509858,37115.9004,25817.14455,RE-8,4009,IT-10,51212,33220.888,33833,20335,1355,21.744217649440127
6053,12990.4162,-0.5724422735796015,-1.310464064938534,-0.1830351868702928,23488.8162,25203.248919999998,RE-2,4799,IT-2,31045,27957.179,27714,16284,1269,-4.1604628302484565
6307,16592.8737,0.8563365661767561,-1.600358259322157,-0.2739126307077887,41786.5417,37868.17557,RE-4,3820,IT-8,58987,36930.234,13973,11214,1705,54.9921319360462
3972,9361.6494,-0.7146026123292696,-0.9441806163907472,0.480839480347282,46484.2245,31111.13817,RE-10,1321,IT-B,26226,26209.163500000002,11286,23919,1527,27.109349442250444
5965,4625.0721,-1.2778519257799015,-1.332300809744242,-0.006497849110921981,28180.066000000003,38643.06085,RE-A,847,IT-A,80605,32062.347999999998,9242,9720,1548,13.822985828836828
5792,15175.9785,-1.326614985074755,-0.6913512243647634,-1.1513161857827063,31603.9186,27140.16036,RE-F,1105,IT-9,47330,26193.771,9533,13796,1114,-7.063898449302589
4576,4433.9121,1.066702250032199,1.2488267081905078,0.8458087798032841,39476.4103,33959.48022,RE-2,3496,IT-B,46289,26209.163500000002,3091,24854,1335,7.96786379771265
7148,12858.6544,1.548191368085744,0.557275049463435,1.60593949204133,24884.438,16227.66753,RE-2,2987,IT-A,34072,35555.053,29395,21981,1646,31.376516318539515
5203,16435.2094,-1.0864254831907911,-0.819265945383328,-1.069033681628642,40958.1723,22996.93176,RE-3,4658,IT-A,31672,25596.21,18360,13464,1606,10.902255417584712
2912,6091.8135,-1.1231264626404889,1.0111033434872978,-0.5548791690191778,26809.6463,24877.28172,RE-0,4007,IT-F,28069,26209.163500000002,4968,6364,1162,-39.7906739286853
3477,7806.189,-0.22788714735322493,-1.737678061529753,-0.9289587770211705,41502.9628,21315.84147,RE-8,476,IT-B,69116,29442.943,23656,18300,1362,16.54147729242296
5523,4421.6839,0.9726606438369855,-0.2788939874280835,-2.021569679885886,41906.1973,28502.750030000003,RE-7,3149,IT-9,58297,14822.444,33216,11321,1213,-20.366822141194785
3929,18153.3319,0.9918176891697744,-0.0908800931361608,0.39752841765149927,54723.0876,26655.578830000002,RE-F,3750,IT-7,53623,25660.426,2412,16446,1171,-15.059747168484217
3979,9683.0982,0.2934406099358736,1.5975781326902216,1.1658029225271092,50662.8496,37749.49019,RE-A,3568,IT-6,47397,20975.678,25312,9598,1522,4.777256498217097
6188,8854.2844,-1.0229421621393335,-0.4733129739343121,-0.6605994636307714,35507.3515,24257.58979,RE-C,4609,IT-4,59367,21654.369,31228,18774,1226,-2.455802942435275
6635,8420.5527,1.0307696512030113,-1.7069930638825563,0.1889766965525924,29276.3107,26129.15127,RE-9,2028,IT-0,52891,19316.917,30428,17820,1193,-13.513285457896524
5411,14818.5714,-0.8019199975457245,-0.8345741564223198,-0.38834942658273575,45513.9644,32433.438560000002,RE-11,4222,IT-7,32018,26209.163500000002,29257,11332,1312,17.344453263478087
6782,9390.6423,-0.06326094854533638,-1.2382854398602634,0.14752496692288786,32837.6023,25509.973830000003,RE-6,2649,IT-5,37771,33891.827000000005,23386,16444,1315,-0.1757155865573441
6296,14835.6143,1.4373849514772588,-0.978975744355467,-0.12688507350723005,21636.692000000003,41022.48944,RE-1,2409,IT-13,63887,18818.436,22953,16660,1593,44.597923880916355
4701,13174.0109,-0.681023324111805,-1.2170178418183961,1.0676734207183387,48789.8874,30790.58502,RE-0,4191,IT-0,55199,22167.281000000003,4451,16771,806,0.2329348957471637
3812,1060.5101,0.6013990950337103,-1.165933215687935,-1.2603546396368122,28875.8681,37926.94058,RE-3,4665,IT-F,49131,16688.039,29788,12515,1075,-21.424563444912263
6085,16795.3357,1.5030564558516957,0.5406324412140913,-0.09757688343638894,35128.443999999996,42924.64366,RE-E,4300,IT-D,43567,30341.593999999997,11768,16135,1052,17.43822766986133
4416,6320.1827,1.7498186788071093,1.5487809690383285,-0.924007167597471,37121.4853,19224.31634,RE-4,959,IT-10,41815,32292.825,18785,11595,1367,3.406580791539412
6051,6672.9321,0.22803709432021843,0.6724944041961555,0.6953679964843578,37145.7742,32226.98338,RE-2,1631,IT-1,31138,14626.716,13656,19855,1286,-39.29477688031878
7939,1663.8572,1.1895167905775117,1.7005006348313916,-0.19693254444641695,27348.1099,26070.91971,RE-1,3919,IT-13,59639,24690.311,23969,14280,1196,5.979991606844476
8076,3278.4874,-0.30281258148270984,0.10755012914059281,-0.3472129254459855,32368.6196,38394.234769999995,RE-0,4237,IT-8,29738,27002.316000000003,6754,19125,1391,-15.318324663351357
6337,14145.2296,-1.6081599176642611,1.4346102574248065,-0.6578569773444104,31943.4784,30299.83893,RE-F,3126,IT-B,51061,26209.163500000002,19541,13880,1798,-5.724582974710453
5921,2908.1389,-0.19344577110109543,0.2658939808315251,-0.7169425789354613,43604.7085,44172.64369,RE-E,1827,IT-A,18775,28160.077999999998,22292,17475,1153,-14.232135688914545
4877,15830.6665,-1.6318973384673559,-1.283186974751334,0.6606901703269575,45754.6242,30146.700760000003,RE-4,4641,IT-D,51934,36731.191,6592,19548,1478,192.2509554934274
5661,15947.0229,0.4932590274040744,0.06262902631884126,-1.4597957557566923,29609.188,26943.797560000003,RE-E,3784,IT-D,38692,23664.625,10458,7438,1117,-7.5114235477189615
6572,3916.5044,1.1735382298762902,0.43806858907533797,-1.312941211297082,22820.1338,22796.848840000002,RE-2,3229,IT-8,48226,25962.395,18632,18098,1418,3.1199277208297573
4287,11619.5067,1.1468687705425826,-0.45423527741220476,0.7163178725399273,44677.1156,35475.67349,RE-11,4523,IT-D,48043,17984.777,629,9091,1372,-8.198537110300313
4634,11826.0959,0.8699942529204088,1.643517790555314,1.9573853080850927,23090.5643,11557.216209999999,RE-3,1588,IT-C,45822,26209.163500000002,25503,15418,1264,-18.94266447430852
6246,3055.454,0.17997421417689805,-0.45077743294781264,0.1383902627391942,44850.3503,41298.35982,RE-0,2666,IT-9,52567,26209.163500000002,11476,16964,1603,18.55382167707623
3718,17560.9405,0.45737064775710967,0.5841708255587733,-1.8150753723034518,43619.3799,39537.04791,RE-11,4046,IT-0,50539,26209.163500000002,1910,15341,901,-15.766116877237598
3618,18344.7685,-0.9751394329525617,1.306369763153086,-0.8382795427326935,61230.0774,32719.83893,RE-3,1459,IT-1,75198,27431.961,30825,17218,1098,52.083960355760034
4279,10361.9463,-0.6904129789059313,0.9520038995524961,0.1235027627404928,21132.4306,40442.69026,RE-11,4779,IT-9,56202,29149.167,16335,22197,1157,8.244854331502815
6872,1515.2837,0.5655123980285964,0.8267518998308704,-2.5386584709560838,44546.5585,52994.71561,RE-10,1751,IT-10,60313,33589.029,12314,26208,1430,56.790144975976546
5342,5962.5873,-0.47697616054793895,-1.4061220124017508,-0.8847388595597027,52506.7792,21880.64462,RE-D,4139,IT-6,35712,35136.105,24746,20031,1215,-9.281464275027414
4904,17820.731,-1.598798127741994,1.0293522322238515,-1.3163768461506398,33765.3056,19662.04391,RE-0,4024,IT-11,46749,25310.778,7443,18765,1129,4.12500835816381
3512,5309.7257,-1.1268959378973842,1.3940931355503923,0.7188983701896023,25566.1799,25404.952830000002,RE-7,3300,IT-12,2349,33029.379,15814,12362,1142,-34.75518520177755
7330,10629.9765,-1.0343367714536829,-1.610347004729884,-0.42136204416556505,44036.6813,35110.205989999995,RE-9,1067,IT-8,45688,27583.081000000002,839,11510,1342,-7.404850840882012
5125,16117.31,-1.0881905357552717,-1.4128869914696964,1.5032104791621452,14837.9075,31573.32075,RE-10,2190,IT-3,24324,22306.839,31919,18587,837,-78.70948301650195
4437,11201.6776,0.8945031081170417,-0.43348769757443717,0.027869323236324527,29840.3003,43235.53079,RE-E,1277,IT-B,56624,25677.468999999997,3616,20151,1155,5.680292496602219
8306,4215.8523,0.8139513618865734,-1.5112289895794764,0.5330202111459877,44572.3955,36148.96462,RE-7,4934,IT-11,61137,25661.997000000003,12866,16070,1297,14.498296453081965
5736,6624.4614,1.272529471129338,0.6157215712692202,0.06533861122467578,33650.8162,14920.450190000001,RE-B,1435,IT-9,24025,22319.417999999998,9761,19539,1026,-48.14901850164927
5776,10057.9676,1.1272954807740352,-0.6173418544865972,-0.8516364708371498,16826.806,22251.79308,RE-0,2078,IT-3,55918,22842.075,10823,13106,1266,-12.313982857481037
3989,10832.8687,-1.6160180738108973,0.8866107969039375,0.594935426300909,40614.8074,29422.27415,RE-A,720,IT-B,34435,446.0,25881,11583,893,-89.49107111956938
5977,15851.2756,0.9968602181631148,-1.6427683854478674,-0.5149475880572317,32546.7226,22065.64295,RE-8,4823,IT-10,69943,26209.163500000002,26661,21350,962,42.02917639306555
5320,2187.843,1.7635728200694067,0.5362949076226905,0.7929295726544343,37617.3174,40794.624019999996,RE-9,3067,IT-7,23675,28864.706000000002,26783,18992,1241,-10.505608656050912
3070,12841.073999999999,1.0074374581719308,-1.675588851644718,-0.33763326726336695,20300.321,34455.01385,RE-4,3887,IT-6,51258,27376.444,33373,16392,1334,9.368224427951494
4743,3490.7371,-1.0661747206549388,1.1873033991985764,1.771810912786468,24650.7079,28669.10695,RE-E,740,IT-8,70737,26209.163500000002,23536,18510,1342,4.652283756622472
4724,8426.3537,-0.5555486131516768,0.3889144481644186,-0.5994519379340763,33434.6423,29772.697119999997,RE-8,3774,IT-11,81745,37327.589,19427,12799,1358,81.68637432728956
4085,18542.0581,1.0063226736472768,0.14440055028692517,-2.4392797442511642,61283.6189,38176.65294,RE-9,2329,IT-F,66145,27656.423,1099,18107,924,38.25181287592334
5011,7835.5115,0.9757455291954092,0.7306479851602705,1.595024306890532,32637.0023,34777.88653,RE-6,4307,IT-F,44909,23453.017999999996,21377,9191,1878,17.711974776355305
4409,6473.344,-1.1212783852182946,1.4149503264333452,-1.869725582573953,22806.8554,30448.804969999997,RE-D,3200,IT-9,41544,20829.621,25691,11325,1590,-85.13202285603562
5097,18112.1975,0.32864120226133897,-1.1326070541162747,0.20625754881473052,34034.371,18527.77474,RE-0,2746,IT-11,53515,32141.28,11820,11752,1074,3.91382258209481
3996,16402.552,-0.5615285043935894,-0.454807156419552,-0.6211659542631414,29731.9362,37389.25758,RE-6,3385,IT-1,59960,23823.159,1459,12847,1041,-20.08113829470449
6865,8782.5674,1.7691142890910505,0.9396364969211352,0.6320918732840021,18774.0351,40948.75252,RE-B,595,IT-C,27739,18464.473,2403,18127,1240,-27.94396989417726
5619,6857.6565,1.2784661713356558,1.509364898110877,0.5906779188371439,18593.1166,36423.54955,RE-9,500,IT-A,55891,15912.611,10178,6927,1582,-21.555011573170837
3299,9289.5279,1.5742549189837574,-1.2414707094936448,0.548163973498566,61653.8327,34858.92366,RE-4,4825,IT-9,50083,31181.172000000002,26390,15995,1178,28.330176669086583
4005,7552.0993,-0.5680461550586794,0.6555193749062419,-0.957396407358547,32060.5189,24607.29667,RE-1,4036,IT-E,32769,20331.819,33293,22223,1497,12.14377415699137
7363,14528.7968,-0.5848965292223574,1.2890632928602108,0.35840102746974095,33152.9861,33496.10872,RE-8,2559,IT-13,56437,24114.955,32061,15701,1189,20.63264103413021
3880,5722.8533,1.0969671203672198,-0.7385230428613205,-1.5074283705640845,35386.9873,41665.43054,RE-C,3433,IT-3,44370,26209.163500000002,8525,8728,1213,-3.3347931632627468
6907,10056.0471,1.1872114469603636,0.26427847463188897,-1.160632411136655,31766.0356,17690.98076,RE-B,625,IT-4,21402,23474.712000000003,6075,11194,1145,-47.860134771824036
5279,10886.1918,-0.3370990812455149,-0.4950715944260087,1.119631354049435,25630.2627,6567.90349,RE-9,930,IT-5,35867,30913.603,431,24757,1516,-17.622037512995753
4236,1685.44,0.42004063464282765,-0.29595819610958085,-1.2415625236862953,46117.3571,29788.95654,RE-6,706,IT-1,66066,15001.163,12645,10446,1870,-146.98291793017177
6154,2584.8854,-0.028419743501519434,-1.176282424916213,0.5209808637934702,24782.4862,34210.75892,RE-4,1804,IT-A,47384,34550.633,34398,12503,1354,-3.7310060148003945
4346,15347.0199,0.9567844014796785,1.0317089123056706,1.2137577440213596,34237.5262,19917.33367,RE-2,2008,IT-F,35643,26209.163500000002,34284,14726,1598,10.723219828235646
5727,8188.8956,-1.078714145414112,0.7553278898908784,-1.538062369406543,21614.8129,43684.90838,RE-9,1892,IT-4,35651,12693.258,7994,22893,1629,-6.725017892725344
