id,y,pred
254,0,0
255,4,4
256,4,4
257,1,1
258,4,4
259,4,4
260,2,2
261,2,2
262,0,0
263,4,4
264,0,0
265,1,1
266,4,4
267,3,3
268,0,0
269,0,0
270,1,1
271,0,0
272,1,1
273,1,1
274,4,4
275,0,0
276,1,1
277,3,3
278,2,2
279,3,3
280,2,2
281,1,1
282,2,2
283,3,3
284,4,4
285,3,3
286,3,3
287,3,3
288,2,2
289,2,2
290,0,0
291,2,2
292,1,1
293,3,3
294,1,1
295,1,1
296,3,3
297,1,1
298,0,0
299,1,1
300,0,0
301,1,1
302,0,0
303,4,4
304,2,2
305,2,2
306,1,1
307,1,1
308,4,4
309,2,2
310,0,0
311,1,1
312,2,2
313,1,1
314,1,1
315,2,2
316,3,3
317,4,4
318,3,3
319,4,4
320,0,0
321,0,0
322,2,2
323,0,0
324,2,2
325,3,3
326,2,2
327,0,0
328,4,4
329,2,2
330,2,2
331,2,2
332,2,2
333,4,4
334,2,2
335,0,0
336,1,1
337,3,3
338,4,4
339,4,4
340,4,4
341,0,0
342,3,3
343,0,0
344,1,1
345,1,1
346,2,2
347,4,4
348,4,4
349,3,4
350,0,0
351,1,1
352,0,0
353,3,3
354,3,3
355,1,1
356,4,4
357,1,1
358,1,1
359,3,3
360,2,2
361,4,4
362,4,4
363,2,2
364,3,3
365,0,0
366,4,4
367,4,4
368,1,1
369,1,1
370,3,3
371,2,2
372,1,1
373,1,1
374,1,1
375,0,0
376,1,1
377,1,1
378,3,3
379,4,4
380,1,1
381,3,3
382,1,1
383,0,0
384,4,4
385,2,2
386,1,1
387,0,0
388,0,0
389,2,2
390,2,2
391,4,4
392,3,3
393,1,1
394,0,0
395,0,0
396,4,4
397,1,1
398,0,0
399,3,3
400,4,4
401,4,4
402,2,2
403,3,3
404,3,3
405,3,3
406,4,4
407,3,3
408,3,3
409,3,3
410,2,2
411,2,2
412,1,1
413,3,3
414,1,1
415,4,4
416,0,0
417,1,1
418,0,0
419,3,3
420,1,1
421,2,2
422,4,4
423,3,3
424,3,3
425,3,3
426,4,4
427,1,1
428,3,3
429,0,0
430,4,4
431,3,3
432,0,0
433,4,4
434,1,1
435,1,1
436,1,1
437,0,0
438,0,0
439,4,4
440,0,0
441,4,4
442,2,2
443,0,0
444,0,0
445,4,4
446,4,4
447,0,0
448,2,2
449,0,0
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,0,0
456,1,1
457,2,2
458,1,0
459,0,0
460,1,1
461,2,2
462,4,4
463,4,4
464,0,0
465,2,2
466,0,0
467,0,0
468,1,1
469,4,4
470,3,3
471,1,1
472,3,3
473,4,4
474,2,2
475,4,4
476,0,0
477,1,1
478,1,1
479,1,1
480,0,0
481,4,4
482,3,3
483,1,1
484,3,3
485,3,3
486,2,2
487,4,4
488,4,4
489,1,1
490,2,2
491,4,4
492,1,1
493,4,4
494,4,4
495,0,0
496,4,4
497,0,0
498,0,0
499,3,3
500,0,0
501,3,3
502,4,4
503,3,3
504,1,1
505,0,0
506,4,4
507,1,1
508,4,4
509,1,1
510,0,0
511,1,1
512,0,0
513,3,3
514,4,4
515,0,0
516,2,2
517,1,1
518,2,2
519,2,2
520,4,4
521,0,0
522,1,1
523,4,4
524,2,2
525,4,4
526,2,2
527,2,2
528,2,2
529,4,4
530,4,4
531,1,1
532,1,1
533,0,0
534,3,3
535,1,1
536,4,4
537,3,3
538,0,0
539,1,1
540,3,3
541,3,3
542,1,1
543,1,1
544,3,3
545,0,0
546,0,0
547,2,2
548,4,4
549,3,3
550,1,1
551,4,4
552,4,4
553,4,4
554,1,1
555,0,0
556,3,3
557,0,0
558,1,1
559,2,2
560,1,1
561,3,3
562,0,0
563,2,2
564,1,0
565,4,4
566,0,0
567,2,2
568,1,1
569,1,1
570,1,1
571,0,0
572,4,4
573,0,0
574,1,1
575,0,0
576,2,2
577,2,2
578,4,4
579,3,3
580,2,2
581,4,4
582,0,0
583,0,0
584,1,1
585,2,2
586,1,1
587,0,0
588,4,4
589,4,4
590,4,4
591,0,0
592,4,4
593,1,1
594,2,2
595,0,0
596,1,1
597,4,4
598,2,2
599,4,4
600,1,1
601,4,4
602,2,2
603,1,1
604,4,4
605,0,0
606,2,2
607,2,2
608,3,3
609,0,0
610,1,1
611,2,2
612,1,1
613,2,2
614,1,1
615,2,2
616,3,3
617,4,4
618,0,0
619,3,3
620,3,3
621,4,4
622,4,4
623,3,3
624,3,3
625,0,0
626,4,4
627,0,0
628,2,2
629,0,0
630,1,1
631,4,4
632,1,1
633,1,1
634,3,3
635,4,4
636,3,3
637,3,3
638,4,4
639,0,0
640,4,4
641,2,2
642,4,4
643,0,0
644,2,2
645,2,2
646,3,3
647,2,2
648,3,3
649,3,3
650,4,4
651,3,3
652,2,2
653,2,2
654,4,4
655,4,4
656,0,0
657,1,1
658,2,2
659,3,3
660,0,0
661,2,2
662,4,4
663,0,0
664,1,1
665,4,4
666,0,0
667,0,0
668,0,0
669,0,0
670,4,4
671,2,2
672,2,2
673,4,4
674,0,0
675,1,1
676,0,0
677,3,3
678,2,2
679,1,1
680,1,1
681,1,1
682,4,4
683,3,3
684,4,4
685,3,3
686,2,2
687,4,4
688,2,2
689,4,4
690,0,0
691,2,2
692,2,2
693,0,0
694,4,4
695,0,0
696,3,3
697,2,2
698,2,2
699,0,0
700,0,0
701,3,3
702,1,1
703,4,4
704,2,2
705,0,0
706,0,0
707,4,4
708,1,1
709,1,1
710,3,3
711,1,1
712,3,3
713,1,1
714,2,2
715,2,2
716,2,2
717,3,3
718,3,3
719,0,0
720,0,0
721,1,1
722,2,2
723,4,4
724,4,4
725,0,0
726,1,1
727,4,4
728,2,2
729,1,1
730,0,0
731,1,1
732,1,1
733,4,4
734,3,3
735,4,4
736,0,0
737,2,2
738,1,1
739,0,0
740,0,0
741,3,3
742,3,3
743,1,1
744,0,0
745,4,4
746,2,2
747,2,2
748,1,1
749,0,0
750,0,0
751,1,1
752,1,1
753,3,3
754,3,3
755,3,3
756,0,0
757,4,4
758,1,1
759,4,4
760,1,1
761,3,3
762,3,3
763,4,4
764,1,1
765,2,2
766,3,3
767,0,0
768,3,3
769,4,4
770,0,0
771,0,0
772,3,3
773,3,2
774,0,0
775,0,0
776,1,1
777,3,3
778,3,3
779,2,2
780,3,3
781,3,3
782,0,0
783,0,0
784,0,0
785,2,2
786,1,1
787,3,3
788,3,3
789,1,1
790,0,0
791,3,3
792,0,0
793,0,0
794,4,4
795,1,1
796,1,1
797,1,1
798,0,0
799,0,0
800,2,2
801,0,0
802,4,4
803,0,0
804,0,0
805,3,3
806,3,3
807,2,2
808,0,0
809,3,3
810,3,3
811,0,0
812,2,2
813,3,3
814,4,4
815,2,2
816,2,2
817,3,3
818,4,4
819,1,1
820,4,4
821,4,4
822,3,3
823,2,2
824,2,2
825,4,4
826,3,3
827,4,4
828,3,3
829,4,4
830,0,0
831,4,4
832,3,3
833,3,3
834,0,0
835,3,3
836,1,1
837,2,2
838,2,2
839,1,1
840,3,3
841,4,4
842,2,2
843,0,0
844,0,0
845,3,3
846,4,4
847,3,3
848,4,4
849,1,1
850,0,0
851,1,1
852,0,0
853,1,1
854,0,0
855,2,2
856,2,2
857,3,3
858,4,4
859,2,2
860,4,4
861,2,2
862,0,0
863,1,1
864,3,3
865,0,0
866,0,0
867,3,3
868,0,0
869,3,3
870,3,2
871,3,3
872,2,2
873,4,4
874,4,4
875,2,2
876,0,0
877,3,3
878,2,2
879,2,2
880,2,2
881,0,0
882,1,0
883,0,0
884,3,3
885,1,1
886,2,2
887,3,3
888,2,2
889,4,4
890,3,3
891,4,4
892,3,3
893,3,3
894,0,0
895,2,2
896,0,0
897,2,2
898,1,1
899,1,1
900,1,1
901,4,4
902,2,2
903,0,0
904,0,0
905,3,3
906,1,1
907,2,2
908,3,3
909,4,4
910,4,4
911,3,3
912,1,1
913,3,3
914,2,2
915,1,1
916,0,0
917,1,1
918,2,2
919,2,2
920,1,1
921,3,3
922,0,0
923,3,3
924,4,4
925,4,4
926,4,4
927,3,3
928,0,0
929,2,2
930,1,1
931,2,2
932,1,1
933,4,4
934,0,0
935,4,4
936,3,3
937,0,0
938,2,2
939,4,4
940,1,1
941,3,3
942,4,4
943,4,4
944,4,4
945,4,4
946,1,1
947,3,3
948,0,0
949,2,2
950,4,4
951,0,0
952,1,1
953,2,2
954,1,1
955,0,0
956,3,3
957,3,3
958,3,3
959,3,3
960,4,4
961,4,4
962,4,4
963,0,0
964,4,4
965,2,2
966,0,0
967,3,3
968,1,1
969,0,0
970,2,2
971,3,3
972,2,2
973,3,3
974,4,4
975,4,4
976,0,0
977,3,3
978,3,3
979,1,1
980,2,2
981,1,1
982,3,3
983,3,3
984,4,4
985,1,1
986,1,1
987,3,3
988,1,1
989,4,4
990,0,0
991,1,1
992,1,1
993,4,4
994,4,4
995,3,3
996,1,1
997,2,2
998,1,1
999,2,2
1000,1,1
1001,1,1
1002,0,0
1003,2,2
1004,0,0
1005,4,4
1006,3,3
1007,3,3
1008,4,4
1009,3,3
1010,0,0
1011,4,4
1012,0,0
1013,4,4
1014,3,3
1015,4,4
1016,2,2
1017,0,0
1018,4,4
1019,4,4
1020,0,0
1021,4,4
1022,3,3
1023,2,2
1024,4,4
1025,1,1
1026,1,1
1027,1,1
1028,2,2
1029,4,4
1030,3,3
1031,1,1
1032,0,0
1033,4,4
1034,4,4
1035,1,1
1036,4,4
1037,0,0
1038,2,2
1039,0,0
1040,2,2
1041,2,2
1042,3,3
1043,1,1
1044,1,1
1045,1,1
1046,1,1
1047,2,2
1048,4,4
1049,4,4
1050,4,4
1051,2,2
1052,1,1
1053,4,4
1054,0,0
1055,3,3
1056,3,3
1057,0,0
1058,1,1
1059,2,2
1060,2,2
1061,3,3
1062,2,2
1063,1,1
1064,4,4
1065,3,3
1066,1,1
1067,3,3
1068,0,0
1069,2,2
1070,2,2
1071,0,0
1072,0,0
1073,3,3
1074,1,1
1075,0,0
1076,4,4
1077,4,4
1078,0,0
1079,1,1
1080,4,4
1081,1,1
1082,4,4
1083,4,4
1084,0,0
1085,3,3
1086,0,0
1087,2,2
1088,0,0
1089,4,4
1090,0,0
1091,2,2
1092,0,0
1093,4,4
1094,1,1
1095,1,1
1096,0,0
1097,4,4
1098,2,2
1099,1,1
1100,2,2
1101,3,3
1102,0,0
1103,0,0
1104,4,4
1105,2,2
1106,3,3
1107,0,0
1108,3,3
1109,1,1
1110,4,4
1111,0,0
1112,2,2
1113,3,3
1114,3,3
1115,3,3
1116,3,3
1117,2,2
1118,0,0
1119,3,3
1120,4,4
1121,3,3
1122,4,4
1123,1,1
1124,1,1
1125,1,1
1126,4,4
1127,4,4
1128,1,1
1129,1,1
1130,3,3
1131,0,0
1132,2,2
1133,3,1
1134,4,4
1135,4,4
1136,4,4
1137,2,2
1138,3,3
1139,1,1
1140,1,1
1141,0,0
1142,3,3
1143,1,1
1144,0,0
1145,2,2
1146,0,0
1147,1,1
1148,1,0
1149,2,2
1150,2,2
1151,3,3
1152,4,4
1153,2,2
1154,1,1
1155,0,0
1156,0,0
1157,1,1
1158,0,0
1159,4,4
1160,3,3
1161,2,2
1162,3,3
1163,0,0
1164,0,0
1165,1,1
1166,0,0
1167,3,3
1168,1,1
1169,2,2
1170,4,4
1171,2,2
1172,2,2
1173,0,0
1174,4,4
1175,4,4
1176,2,2
1177,1,1
1178,4,4
1179,0,0
1180,3,3
1181,1,1
1182,3,3
1183,3,3
1184,2,2
1185,2,2
1186,4,4
1187,4,4
1188,3,3
1189,2,2
1190,4,4
1191,3,3
1192,2,2
1193,4,4
1194,2,2
1195,3,3
1196,2,2
1197,0,0
1198,0,0
1199,2,2
1200,3,3
1201,0,0
1202,1,1
1203,3,3
1204,1,1
1205,3,3
1206,1,1
1207,1,0
1208,4,4
1209,0,0
1210,4,4
1211,4,4
1212,0,0
1213,0,0
1214,2,2
1215,4,4
1216,2,2
1217,0,0
1218,0,0
1219,1,1
1220,0,0
1221,1,1
1222,4,4
1223,2,2
1224,4,4
1225,3,3
1226,0,0
1227,1,1
1228,1,1
1229,2,2
1230,2,1
1231,4,4
1232,3,3
1233,4,4
1234,2,2
1235,3,3
1236,1,1
1237,4,4
1238,1,1
1239,1,1
1240,3,3
1241,3,3
1242,4,4
1243,0,0
1244,2,2
1245,1,1
1246,3,3
1247,3,3
1248,3,3
1249,2,2
1250,2,2
1251,0,0
1252,2,2
1253,2,2
1254,0,0
1255,1,1
1256,0,0
1257,1,1
1258,4,4
1259,4,4
1260,4,4
1261,0,0
1262,0,0
1263,0,0
1264,4,4
1265,3,3
1266,4,4
1267,4,4
1268,2,2
1269,2,2
1270,0,0
1271,0,0
1272,4,4
1273,0,0
1274,1,1
1275,1,1
1276,3,3
1277,0,0
1278,2,2
1279,0,0
1280,2,2
1281,1,1
1282,3,3
1283,4,4
1284,0,0
1285,2,2
1286,2,2
1287,4,4
1288,0,0
1289,3,3
1290,0,0
1291,2,2
1292,2,2
1293,1,1
1294,1,1
1295,4,4
1296,4,4
1297,0,0
1298,4,4
1299,1,1
1300,4,4
1301,1,1
1302,2,2
1303,0,0
1304,4,4
1305,2,2
1306,3,3
1307,4,4
1308,3,3
1309,3,3
1310,1,1
1311,0,0
1312,1,1
1313,0,0
1314,1,1
1315,1,1
1316,3,3
1317,1,1
1318,3,3
1319,4,4
1320,4,4
1321,3,3
1322,2,2
1323,2,2
1324,1,1
1325,2,2
1326,3,3
1327,2,2
1328,4,4
1329,3,3
1330,1,1
1331,4,4
1332,2,2
1333,1,0
1334,4,4
1335,2,2
1336,3,3
1337,1,1
1338,1,1
1339,0,0
1340,1,1
1341,1,1
1342,1,1
1343,2,2
1344,2,2
1345,0,0
1346,2,2
1347,2,2
1348,3,3
1349,2,2
1350,2,2
1351,4,4
1352,3,3
1353,1,1
1354,4,4
1355,0,0
1356,3,3
1357,1,1
1358,4,4
1359,0,0
1360,4,4
1361,0,0
1362,1,1
1363,0,0
1364,4,4
1365,4,4
1366,2,2
1367,4,4
1368,4,4
1369,3,3
1370,3,3
1371,2,2
1372,2,2
1373,4,4
1374,4,4
1375,3,3
1376,4,4
1377,2,2
1378,0,0
1379,4,4
1380,3,3
1381,2,2
1382,1,1
1383,3,3
1384,3,3
1385,3,3
1386,3,3
1387,2,2
1388,0,0
1389,4,4
1390,1,1
1391,0,0
1392,2,2
1393,2,2
1394,1,1
1395,4,4
1396,0,0
1397,0,0
1398,4,4
1399,1,1
1400,0,0
1401,3,3
1402,4,4
1403,2,2
1404,3,3
1405,0,0
1406,2,2
1407,2,2
1408,1,1
1409,3,3
1410,0,0
1411,1,1
1412,0,0
1413,1,1
1414,0,0
1415,4,4
1416,0,0
1417,0,0
1418,2,2
1419,2,2
1420,3,3
1421,1,1
1422,0,0
1423,1,1
1424,2,2
1425,0,0
1426,1,1
1427,0,0
1428,4,4
1429,2,2
1430,0,0
1431,4,4
1432,4,4
1433,3,3
1434,1,1
1435,4,4
1436,2,2
1437,3,3
1438,4,4
1439,4,4
1440,0,0
1441,4,4
1442,2,2
1443,3,3
1444,2,2
1445,0,0
1446,4,4
1447,3,3
1448,3,3
1449,2,2
1450,4,4
1451,1,0
1452,0,0
1453,4,4
1454,0,0
1455,0,0
1456,2,2
1457,1,1
1458,2,2
1459,2,2
1460,2,2
1461,2,2
1462,3,3
1463,3,3
1464,2,2
1465,4,4
1466,1,1
1467,0,0
1468,2,2
1469,2,2
1470,3,3
1471,2,2
1472,2,2
1473,2,2
1474,1,1
1475,4,4
1476,4,4
1477,0,0
1478,2,2
1479,0,0
1480,1,1
1481,2,2
1482,4,4
1483,2,2
1484,4,4
1485,4,4
1486,2,2
1487,0,0
1488,1,1
1489,3,3
1490,2,2
1491,4,4
1492,3,3
1493,3,3
1494,3,3
1495,3,3
1496,0,0
1497,4,4
1498,1,1
1499,2,2
1500,2,2
1501,0,0
1502,2,2
1503,4,4
1504,2,2
1505,3,3
1506,0,0
1507,1,1
1508,0,0
1509,0,0
1510,2,2
1511,3,3
1512,3,3
1513,1,1
1514,0,0
1515,4,4
1516,2,2
1517,2,2
1518,1,1
1519,2,2
1520,2,2
1521,1,1
1522,0,0
1523,2,2
1524,0,0
1525,3,3
1526,3,3
1527,3,3
1528,4,4
1529,0,0
1530,1,1
1531,3,3
1532,4,4
1533,3,3
1534,4,4
1535,0,0
1536,0,0
1537,3,3
1538,2,2
1539,4,4
1540,3,3
1541,0,0
1542,2,2
1543,0,0
1544,3,3
1545,0,0
1546,3,3
1547,4,4
1548,3,3
1549,1,1
1550,0,0
1551,3,3
1552,0,0
1553,4,4
1554,3,3
1555,0,0
1556,1,1
1557,3,3
1558,2,2
1559,3,3
1560,3,3
1561,2,2
1562,2,2
1563,3,3
1564,2,2
1565,0,0
1566,0,0
1567,4,4
1568,2,2
1569,2,2
1570,2,2
1571,1,1
1572,2,2
1573,4,4
1574,3,3
1575,0,0
1576,1,1
1577,2,2
1578,0,0
1579,3,3
1580,2,2
1581,0,0
1582,2,2
1583,3,3
1584,2,2
1585,3,3
1586,2,2
1587,1,1
1588,4,4
1589,0,0
1590,3,3
1591,4,4
1592,2,2
1593,1,1
1594,2,2
1595,3,3
1596,3,3
1597,1,1
1598,0,0
1599,1,1
1600,1,1
1601,4,4
1602,3,3
1603,2,2
1604,4,4
1605,1,1
1606,1,1
1607,2,2
1608,3,3
1609,0,0
1610,2,2
1611,2,2
1612,1,1
1613,0,0
1614,0,0
1615,4,4
1616,1,1
1617,0,0
1618,0,0
1619,1,1
1620,0,0
1621,0,0
1622,0,0
1623,3,3
1624,4,4
1625,4,4
1626,3,3
1627,1,1
1628,4,4
1629,4,4
1630,0,0
1631,1,1
1632,0,0
1633,3,3
1634,1,1
1635,1,1
1636,2,2
1637,4,4
1638,3,3
1639,2,2
1640,1,1
1641,2,2
1642,3,3
1643,0,0
1644,4,4
1645,1,1
1646,1,1
1647,1,1
1648,4,4
1649,2,2
1650,3,3
1651,0,0
1652,1,1
1653,2,2
1654,2,2
1655,0,0
1656,0,0
1657,2,2
1658,2,2
1659,4,4
1660,1,1
1661,2,2
1662,3,3
1663,1,1
1664,4,4
1665,3,3
1666,2,1
1667,2,2
1668,2,2
1669,3,3
1670,1,0
1671,2,2
1672,1,1
1673,0,0
1674,1,1
1675,4,4
1676,4,4
1677,4,4
1678,1,1
1679,1,1
1680,0,0
1681,4,4
1682,4,4
1683,0,0
1684,4,4
1685,3,3
1686,1,1
1687,3,3
1688,2,2
1689,1,1
1690,4,4
1691,4,4
1692,3,3
1693,0,0
1694,2,2
1695,1,1
1696,1,1
1697,0,0
1698,4,4
1699,1,1
1700,4,4
1701,1,1
1702,2,2
1703,3,3
1704,1,1
1705,4,4
1706,0,0
1707,4,4
1708,2,2
1709,1,1
1710,0,0
1711,3,3
1712,4,4
1713,3,3
1714,4,4
1715,0,0
1716,3,3
1717,4,4
1718,2,2
1719,0,0
1720,3,3
1721,3,3
1722,3,3
1723,3,3
1724,1,1
1725,4,4
1726,1,1
1727,4,4
1728,1,1
1729,3,3
1730,1,0
1731,2,2
1732,2,2
1733,0,0
1734,2,2
1735,3,3
1736,4,4
1737,4,4
1738,0,0
1739,3,3
1740,1,1
1741,4,4
1742,4,4
1743,3,3
1744,4,4
1745,3,3
1746,2,2
1747,2,2
1748,2,2
1749,0,0
1750,0,0
1751,0,0
1752,4,4
1753,3,3
1754,1,1
1755,1,1
1756,1,1
1757,2,2
1758,0,0
1759,3,3
1760,2,2
1761,0,0
1762,0,0
1763,1,1
1764,4,4
1765,0,0
1766,4,4
1767,3,3
1768,0,0
1769,4,4
1770,0,0
1771,4,4
1772,3,3
1773,0,0
1774,1,1
1775,4,4
1776,2,2
1777,0,0
1778,2,2
1779,4,4
1780,3,3
1781,2,2
1782,3,3
1783,3,3
1784,4,4
1785,0,0
1786,0,0
1787,1,1
1788,1,1
1789,4,4
1790,1,1
1791,0,0
1792,4,4
1793,0,0
1794,0,0
1795,1,1
1796,3,3
1797,2,2
1798,3,3
1799,3,3
1800,1,1
1801,1,1
1802,0,0
1803,1,1
1804,2,2
1805,0,0
1806,3,3
1807,2,2
1808,3,3
1809,4,4
1810,4,4
1811,3,3
1812,3,3
1813,3,3
1814,4,4
1815,0,0
1816,3,3
1817,1,1
1818,4,4
1819,3,3
1820,2,2
1821,4,4
1822,0,0
1823,2,2
1824,0,0
1825,3,3
1826,1,1
1827,3,3
1828,2,2
1829,0,0
1830,0,0
1831,3,3
1832,2,2
1833,1,1
1834,4,4
1835,1,1
1836,4,4
1837,0,0
1838,3,3
1839,2,2
1840,0,0
1841,4,4
1842,4,4
1843,3,3
1844,3,3
1845,1,1
1846,4,4
1847,0,0
1848,4,4
1849,1,1
1850,3,3
1851,1,1
1852,2,2
1853,4,4
1854,2,2
1855,0,0
1856,2,2
1857,2,2
1858,0,0
1859,4,4
1860,0,0
1861,2,2
1862,2,2
1863,2,2
1864,2,2
1865,4,4
1866,3,3
1867,2,2
1868,0,0
1869,2,2
1870,3,3
1871,2,2
1872,2,2
1873,2,2
1874,2,2
1875,2,2
1876,3,3
1877,3,3
1878,1,1
1879,0,0
1880,2,2
1881,2,2
1882,1,1
1883,2,2
1884,3,3
1885,3,3
1886,0,0
1887,3,3
1888,2,2
1889,3,3
1890,1,1
1891,4,4
1892,0,0
1893,0,0
1894,0,0
1895,1,1
1896,4,4
1897,3,3
1898,2,2
1899,1,1
1900,1,1
1901,3,3
1902,0,0
1903,2,2
1904,2,2
1905,1,1
1906,1,1
1907,4,4
1908,3,3
1909,2,2
1910,3,3
1911,3,3
1912,3,3
1913,2,2
1914,3,3
1915,2,2
1916,1,1
1917,4,4
1918,4,4
1919,4,4
1920,3,3
1921,3,3
1922,2,2
1923,4,4
1924,0,0
1925,3,3
1926,3,3
1927,4,4
1928,2,2
1929,1,1
1930,2,2
1931,3,3
1932,4,4
1933,3,3
1934,3,3
1935,0,0
1936,0,0
1937,2,2
1938,3,3
1939,3,3
1940,2,2
1941,1,1
1942,0,0
1943,4,4
1944,1,1
1945,2,2
1946,4,4
1947,3,3
1948,4,4
1949,0,0
1950,0,0
1951,1,1
1952,3,3
1953,1,1
1954,2,2
1955,2,2
1956,4,4
1957,4,4
1958,1,1
1959,1,1
1960,0,0
1961,3,3
1962,4,4
1963,2,2
1964,1,1
1965,2,2
1966,4,4
1967,1,1
1968,1,1
1969,3,3
1970,4,4
1971,4,4
1972,2,2
1973,4,4
1974,0,0
1975,3,2
1976,2,2
1977,3,3
1978,4,4
1979,3,3
1980,3,3
1981,2,2
1982,4,4
1983,2,2
1984,1,1
1985,3,3
1986,3,3
1987,3,4
1988,4,4
1989,2,2
1990,4,4
1991,0,0
1992,4,4
1993,3,3
1994,2,2
1995,4,4
1996,2,2
1997,2,2
1998,0,0
1999,0,0
2000,4,4
2001,1,1
2002,1,1
2003,0,0
2004,0,0
2005,4,4
2006,1,1
2007,2,2
2008,1,1
2009,1,1
2010,0,0
2011,0,0
2012,2,2
2013,1,1
2014,4,4
2015,3,3
2016,0,0
2017,1,1
2018,0,0
2019,1,1
2020,0,0
2021,3,3
2022,4,4
2023,2,2
2024,2,2
2025,2,2
2026,2,2
2027,0,0
2028,0,0
2029,2,2
2030,4,4
2031,3,3
2032,1,1
2033,3,3
2034,4,4
2035,2,2
2036,0,0
2037,3,3
2038,0,0
2039,3,3
2040,2,2
2041,3,3
2042,3,3
2043,4,4
2044,3,3
2045,1,1
2046,4,4
2047,1,1
2048,1,1
2049,1,1
2050,0,0
2051,1,1
2052,0,0
2053,4,4
2054,2,2
2055,1,1
2056,2,2
2057,3,3
2058,1,1
2059,2,2
2060,3,3
2061,3,3
2062,1,1
2063,4,4
2064,0,0
2065,0,0
2066,1,1
2067,3,3
2068,3,3
2069,4,4
2070,0,0
2071,4,4
2072,2,2
2073,3,3
2074,4,4
2075,3,3
2076,2,2
2077,3,3
2078,1,1
2079,3,3
2080,3,3
2081,1,1
2082,1,1
2083,4,4
2084,0,0
2085,4,4
2086,1,1
2087,2,2
2088,2,2
2089,2,2
2090,1,1
2091,3,3
2092,0,0
2093,4,4
2094,1,1
2095,1,1
2096,2,2
2097,0,0
2098,1,1
2099,4,4
2100,4,4
2101,1,1
2102,0,0
2103,0,0
2104,1,1
2105,0,0
2106,3,3
2107,4,4
2108,2,2
2109,4,4
2110,2,2
2111,1,1
2112,2,2
2113,4,4
2114,3,3
2115,4,4
2116,1,1
2117,1,1
2118,4,4
2119,3,3
2120,1,0
2121,4,4
2122,3,3
2123,0,0
2124,1,1
2125,1,1
2126,0,0
2127,3,3
2128,2,2
2129,3,3
2130,2,2
2131,4,4
2132,4,4
2133,3,3
2134,4,4
2135,3,3
2136,4,4
2137,4,4
2138,4,4
2139,3,3
2140,3,3
