id,distance,height,landings,number,pack,age,usage,weight,item,volume,width,max,power,size,target,density,region-RE-0,region-RE-1,region-RE-10,region-RE-11,region-RE-2,region-RE-3,region-RE-4,region-RE-5,region-RE-6,region-RE-7,region-RE-8,region-RE-9,region-RE-A,region-RE-B,region-RE-C,region-RE-D,region-RE-E,region-RE-F
61,4730,7610.0385,1543.41443,43983.81573,54888.5419,58995.7764,42220.09646,4358,6,58844,14728.166000000001,13422,14038,1613,-1.2427846526305089,0.07406022704098973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,7038,10254.4914,31445.757019999997,11241.26361,23314.441000000003,42813.4235,31719.23264,4921,15,50813,35062.285,23976,13136,740,9.57952544208236,0.09684529549524729,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,3583,4034.3577,12271.29546,49691.78469,46081.2779,34844.8379,30997.05445,1177,19,37240,35147.685,6955,15222,1236,-19.59553539117148,0.031605800214822774,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64,5311,11183.5618,13076.56949,18909.346530000003,33351.4805,30656.1637,14055.55284,1761,5,43145,28991.581000000002,16372,15824,1482,11.00741636733022,0.04081585351720941,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4149,6634.4473,33039.1745,27067.925860000003,47668.2968,62454.087999999996,25174.88824,2500,6,54422,25980.006,12830,13273,1055,-45.96842583076738,0.045937304766454745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,4922,12956.4781,31337.507439999998,40176.27051,28421.6616,34961.0755,45462.2342,2031,13,44860,27712.627999999997,9025,18009,1758,43.22920219362741,0.045274186357556846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,3235,2221.9856,8813.93528,9912.10008,34769.1411,26816.5241,31128.46443,2477,4,47186,28017.521,14240,12316,1545,-22.615638512361933,0.052494383927436106,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,4842,17229.9733,40435.3565,46014.28484,57617.7149,49974.6483,11078.688890000001,1752,12,47894,35061.626000000004,5504,18419,1225,-0.2418030288408506,0.03658078256148996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69,5979,7508.4699,38704.272939999995,55434.7156,36895.3399,49131.7504,31059.844310000004,3300,18,57719,23892.31,5692,15686,880,16.312593231536596,0.0571735477052617,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,6573,6120.7235,15410.880030000002,25005.53554,29804.2939,51065.5079,38933.18348,1369,10,57403,32701.178,25061,4365,1244,4.0407284994855805,0.02384892775638904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,3692,13147.0479,23262.1754,40939.3833,57590.7468,23550.6561,32690.07556,2691,6,66530,22311.495,30319,16290,1279,-9.21129455036692,0.040447918232376374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,5821,14370.2953,11621.52445,50324.08606,38227.9469,47329.9715,32246.132960000003,1583,3,70683,22163.792,25722,16644,1325,47.60950576915737,0.0223957670161142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,7387,6141.4283,39179.67548,59830.61915,29857.8501,47245.8527,23007.53127,2909,6,38092,21486.401,19305,21528,1197,-22.968939662356966,0.07636774125800692,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,2900,13419.9469,17538.18189,35955.101160000006,46449.74,28718.406000000003,30864.934339999996,3329,5,40927,17060.744,26814,16190,898,-42.607619243817524,0.0813399467344296,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,3440,16102.7943,15834.14191,22458.17655,44152.753,24453.748,18336.8169,922,14,66963,31511.671000000002,25045,12706,2092,58.230556785916775,0.013768797694249064,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,3952,16184.5503,41932.87244,38476.7202,43869.9763,46411.02099999999,28636.039839999998,2036,7,55548,21196.433999999997,8929,14944,1732,-0.9644390949973776,0.036652984805933604,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
77,4420,8092.2125,1272.40742,4128.01513,27804.6655,37466.4439,25616.49192,2844,14,35631,30447.122000000003,10783,9700,841,-45.6486408759168,0.07981813589290225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,7655,9658.3506,15998.378180000002,9282.17808,47308.062000000005,9426.905999999999,35409.66321,4414,0,27755,25425.084,12506,15984,1619,-26.917089197002593,0.15903440821473608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,5570,13362.498,24152.320369999998,25150.09511,54132.5566,49900.7457,39770.47097,4609,1,75974,,12296,14270,1607,16.773795460891773,0.06066549082580883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,5528,3124.2203,30100.30903,2848.86514,31781.2173,31315.9016,22623.12341,2741,17,15849,22050.528,18690,27674,1570,-1.8577164565031128,0.17294466527856647,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4334,1891.2803,14633.53185,54500.982489999995,57074.0163,11637.5052,11214.61678,4716,13,46171,21270.855,11141,15276,1379,-43.379793847789486,0.1021420372095038,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,6132,12298.9759,40568.03872,53205.8885,49343.8708,31992.4839,44967.78552,3808,13,57057,27906.732999999997,14209,21913,1119,19.356035994966053,0.06674027726659305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4731,17706.5439,36970.8141,8569.38552,44565.6203,33904.137,20652.00494,3932,2,50057,15411.533000000001,30061,20219,1582,32.52056366373308,0.07855045248416805,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,6649,1856.9873,9121.533809999999,34708.29154,41703.8038,34335.3424,41509.21408,2332,9,61577,21448.702999999998,31457,19288,1328,0.3862994394341732,0.03787128310895302,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,4841,15837.8125,3870.0170000000003,35094.812139999995,52185.2331,39706.2205,31818.934739999997,1099,1,53904,19765.652,7253,14522,1414,-9.24527268162039,0.02038809735826655,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,6055,2924.7327,25374.88235,42891.554260000004,53830.2369,49171.2026,29968.050919999998,3072,19,48753,23447.548,2007,22070,1325,-2553.4001129072767,0.06301150698418559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,6928,8289.4158,7997.38449,23585.00462,60228.6189,37115.9004,25817.14455,4009,2,51212,33220.888,33833,20335,1355,21.744217649440127,0.07828243380457706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,6053,12990.4162,15058.76048,8644.60129,40245.9244,23488.8162,25203.248919999998,4799,6,31045,27957.179,27714,16284,1269,-4.1604628302484565,0.15458205830246416,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
89,6307,16592.8737,32763.08585,3610.10144,39111.6158,41786.5417,37868.17557,3820,12,58987,36930.234,13973,11214,1705,54.9921319360462,0.0647600318714293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,3972,9361.6494,13297.21921,15005.72891,48532.2352,46484.2245,31111.13817,1321,15,26226,,11286,23919,1527,27.109349442250444,0.05036986196903836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5965,4625.0721,6317.86815,8265.36952,42449.4175,28180.066000000003,38643.06085,847,14,80605,32062.347999999998,9242,9720,1548,13.822985828836828,0.010508033000434217,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92,5792,15175.9785,5713.63393,19396.536180000003,28160.092999999997,31603.9186,27140.16036,1105,13,47330,26193.771,9533,13796,1114,-7.063898449302589,0.023346714557363195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,4576,4433.9121,35369.77515,53090.986430000004,53087.687000000005,39476.4103,33959.48022,3496,15,46289,,3091,24854,1335,7.96786379771265,0.07552550281924432,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,7148,12858.6544,41336.01693,41081.02973,62575.4407,24884.438,16227.66753,2987,14,34072,35555.053,29395,21981,1646,31.376516318539515,0.08766729279173514,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5203,16435.2094,8689.87698,17175.08209,29187.1218,40958.1723,22996.93176,4658,14,31672,25596.21,18360,13464,1606,10.902255417584712,0.1470699671634251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
96,2912,6091.8135,8235.10675,48962.520710000004,35604.6646,26809.6463,24877.28172,4007,19,28069,,4968,6364,1162,-39.7906739286853,0.14275535288040186,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3477,7806.189,19328.22185,1225.31231,30935.5003,41502.9628,21315.84147,476,15,69116,29442.943,23656,18300,1362,16.54147729242296,0.0068869726257306555,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,5523,4421.6839,34204.4841,26559.54923,17297.8154,41906.1973,28502.750030000003,3149,13,58297,14822.444,33216,11321,1213,-20.366822141194785,0.05401650170677737,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,3929,18153.3319,34441.86343,29824.72646,47492.3682,54723.0876,26655.578830000002,3750,11,53623,25660.426,2412,16446,1171,-15.059747168484217,0.06993267814184212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,3979,9683.0982,25788.11332,59147.64099,57081.7706,50662.8496,37749.49019,3568,10,47397,20975.678,25312,9598,1522,4.777256498217097,0.07527902609869823,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
101,6188,8854.2844,9476.51333,23183.13681,34285.0914,35507.3515,24257.58979,4609,8,59367,21654.369,31228,18774,1226,-2.455802942435275,0.07763572355012044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,6635,8420.5527,34924.5261,1758.2088600000002,44889.2799,29276.3107,26129.15127,2028,0,52891,19316.917,30428,17820,1193,-13.513285457896524,0.03834300731693483,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,5411,14818.5714,12215.24952,16909.22928,37683.2455,45513.9644,32433.438560000002,4222,11,32018,,29257,11332,1312,17.344453263478087,0.13186332687863078,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6782,9390.6423,21368.14273,9898.10441,44371.8902,32837.6023,25509.973830000003,2649,9,37771,33891.827000000005,23386,16444,1315,-0.1757155865573441,0.0701331709512589,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,6296,14835.6143,39962.98928,14401.45304,40946.7755,21636.692000000003,41022.48944,2409,5,63887,18818.436,22953,16660,1593,44.597923880916355,0.03770720177813953,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,4701,13174.0109,13713.30785,10267.451990000001,55856.9437,48789.8874,30790.58502,4191,0,55199,22167.281000000003,4451,16771,806,0.2329348957471637,0.0759252885016033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3812,1060.5101,29604.097339999997,11154.622370000001,26799.1034,28875.8681,37926.94058,4665,19,49131,16688.039,29788,12515,1075,-21.424563444912263,0.09495023508579105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,6085,16795.3357,40776.739910000004,40792.00287,41312.5927,35128.443999999996,42924.64366,4300,17,43567,30341.593999999997,11768,16135,1052,17.43822766986133,0.09869855624670049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,4416,6320.1827,43834.42705,58300.19624,30997.305,37121.4853,19224.31634,959,2,41815,32292.825,18785,11595,1367,3.406580791539412,0.022934353700825062,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,6051,6672.9321,24977.6834,43082.00745,51209.9243,37145.7742,32226.98338,1631,1,31138,14626.716,13656,19855,1286,-39.29477688031878,0.052379728948551606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
111,7939,1663.8572,36891.598210000004,60935.0632,40072.4612,27348.1099,26070.91971,3919,5,59639,24690.311,23969,14280,1196,5.979991606844476,0.06571203407166451,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,8076,3278.4874,18399.803659999998,33270.80073,38196.7006,32368.6196,38394.234769999995,4237,12,29738,27002.316000000003,6754,19125,1391,-15.318324663351357,0.1424776380388728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,6337,14145.2296,2224.94628,56317.429970000005,34319.3224,31943.4784,30299.83893,3126,15,51061,,19541,13880,1798,-5.724582974710453,0.06122089265780145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,5921,2908.1389,19754.99282,36020.70781,33581.8313,43604.7085,44172.64369,1827,14,18775,28160.077999999998,22292,17475,1153,-14.232135688914545,0.09731025299600532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
115,4877,15830.6665,1930.81047,9118.3138,50777.0847,45754.6242,30146.700760000003,4641,17,51934,36731.191,6592,19548,1478,192.2509554934274,0.089363422805869,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
